neighborhood,avg of reviews,avg of overall_satisfaction,avg of price,max of reviews,min of reviews,max of price,min of price
Allston,10.31400966183575,3.710144927536232,100.01932367149759,92,0,99.0,100.0
Back Bay,11.296819787985866,3.9558303886925796,237.51590106007066,9,0,99.0,100.0
Bay Village,10.947368421052632,3.9473684210526314,254.1578947368421,8,0,99.0,120.0
Beacon Hill,17.8,4.087804878048781,215.90731707317073,91,0,99.0,100.0
Brighton,13.25,3.85,113.95555555555555,90,0,999.0,10.0
Charlestown,24.43076923076923,4.2,228.53846153846155,95,0,99.0,100.0
Chinatown,11.909090909090908,3.8545454545454545,254.92727272727274,9,0,92.0,100.0
Dorchester,25.0,4.03125,91.575,99,0,99.0,100.0
Downtown,14.671052631578947,3.9210526315789473,241.18421052631578,95,0,99.0,100.0
East Boston,28.53174603174603,4.182539682539683,115.48412698412699,98,0,99.0,100.0
Fenway,8.094594594594595,3.6621621621621623,218.77027027027026,9,0,99.0,100.0
Hyde Park,9.615384615384615,3.923076923076923,92.57692307692308,7,0,87.0,150.0
Jamaica Plain,22.406349206349205,4.177777777777778,140.41587301587302,99,0,99.0,100.0
Leather District,9.125,4.0,342.75,3,0,571.0,159.0
Longwood Medical Area,52.333333333333336,4.083333333333333,99.33333333333333,94,0,84.0,100.0
Mattapan,14.4,3.675,78.65,69,0,95.0,100.0
Mission Hill,11.346534653465346,3.633663366336634,132.16831683168317,9,0,99.0,100.0
North End,25.401515151515152,4.140151515151516,183.13636363636363,99,0,99.0,100.0
Roslindale,26.696428571428573,4.491071428571429,94.60714285714286,9,0,99.0,100.0
Roxbury,22.802721088435373,4.085034013605442,148.3673469387755,97,0,99.0,100.0
South Boston,19.830065359477125,4.107843137254902,189.55555555555554,9,0,99.0,100.0
South Boston Waterfront,6.36231884057971,3.579710144927536,337.463768115942,9,0,95.0,100.0
South End,14.725609756097562,4.047256097560975,195.10670731707316,98,0,99.0,100.0
West End,8.224137931034482,3.75,227.25862068965517,81,0,98.0,100.0
West Roxbury,11.533333333333333,3.7666666666666666,109.76666666666667,8,0,95.0,100.0
